id;nom;num_siret;insee;adresse;complement_localisation;commune;url;type_usagers;gratuit;nb_niveaux;nb_places;nb_pl_vl;nb_pmr;nb_voitures_electriques;nb_pl_2roues;hauteur_max;haut_niveau_inf;xlong;ylat;type_ouvrage;type_gestion;delegataire_gestionnaire;dsp;horaire_visit;horaire_abo;geo_shape;geo_point_2d;irve;dsp_periode;denom_comp;an_constr;surf_exploit
92022-P-013;Gare Rive Droite;?;92022;34  RUE CARNOT, 92370, CHAVILLE;Gare de Chaville-Rive droite;CHAVILLE;;tous;FAUX (zone Orange);;49;;;;;N/A;;2.186368590839212;48.812549562974326;enclos_en_surface;Payant par horodateur (zone Orange);?;Ville;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.186368590839212, 48.812549562974326], ""type"": ""Point""}";48.812549562974326, 2.186368590839212;Non;;;;
92048-P-033;Parking Brimborion;;92048;RUE HENRI SAVIGNAC, 92190, MEUDON;Angle rue Troyon;MEUDON;;tous;FAUX (zone Marron);;40;39;1;0;;N/A;190.0;2.2319053673159446;48.821992777262125;enclos_en_surface;Payant par horodateur (zone Marron);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2319053673159446, 48.821992777262125], ""type"": ""Point""}";48.821992777262125, 2.2319053673159446;Non;;;;
92022-P-028;Parking Mortes Fontaines;;92022;RUE DES MORTES FONTAINES, 92370, CHAVILLE;Face au 2;CHAVILLE;;tous;VRAI;;8;8;0;0;0;N/A;;2.1916909436468504;48.81674139997921;enclos_en_surface;Gratuit;;Non;;;"{""coordinates"": [2.1916909436468504, 48.81674139997921], ""type"": ""Point""}";48.81674139997921, 2.1916909436468504;Non;;;;
92040-P-040;Île Saint Germain;56210021401235;92040;169  QUAI DE STALINGRAD, 92130, ISSY-LES-MOULINEAUX;;ISSY-LES-MOULINEAUX;https://fr.parkindigo.com/parking/issy-les-moulineaux-92130/ile-saint-germain-92160500;tous;FAUX;;220;;5;8;;190;;2.2588280706749404;48.82514921065835;ouvrage;Payant sous barrière;Autre personne privée;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2588280706749404, 48.82514921065835], ""type"": ""Point""}";48.82514921065835, 2.2588280706749404;Oui;;;;
92077-P-044;Parking De Gaulle;;92077;PLACE CHARLES DE GAULLE, 92410, VILLE D'AVRAY;;VILLE D'AVRAY;;tous;FAUX (zone Orange);;82;70;2;0;12;N/A;;2.189081061945388;48.82638052693276;enclos_en_surface;Payant par horodateur (zone Orange);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.189081061945388, 48.82638052693276], ""type"": ""Point""}";48.82638052693276, 2.189081061945388;Non;;;;
92077-P-021;Parking Malglaive;;92077;12  RUE DE SEVRES, 92410, VILLE D'AVRAY;;VILLE D'AVRAY;;tous;FAUX (zone Orange);;31;31;1;0;0;N/A;;2.1910358446422245;48.826126116649796;enclos_en_surface;Payant par horodateur (zone Orange);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.1910358446422245, 48.826126116649796], ""type"": ""Point""}";48.826126116649796, 2.1910358446422245;Non;;;;
92048-P-032;Parking Marcel Allegot;;92048;RUE MARCEL ALLEGOT, 92190, MEUDON;;MEUDON;;tous;FAUX (zone Orange);;18;18;1;0;0;N/A;;2.2276854836865088;48.821368521665526;enclos_en_surface;Payant par horodateur (zone Orange);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2276854836865088, 48.821368521665526], ""type"": ""Point""}";48.821368521665526, 2.2276854836865088;Non;;;;
92048-P-047;Ecoquartier;UCPA;92048;9  RUE MAZKERET BATIA, 92190, MEUDON;;MEUDON;;tous;FAUX;;94;;;;;N/A;;2.2256855182769777;48.78308893575597;ouvrage;Payant sous barrière;UCPA;Ville;Tous les jours de 6h00 à 23h00;;"{""coordinates"": [2.2256855182769777, 48.78308893575597], ""type"": ""Point""}";48.78308893575597, 2.2256855182769777;Non;;;;
92072-P-014;Gymnase;80034814600047;92072;39-41  GRANDE RUE, 92310, SEVRES;;SEVRES;https://fr.parkindigo.com/parking/sevres-92310/sevres-gymnase-92200300;tous;FAUX;1;118;;0;4;0;190;;2.2185558411698945;48.8259772766063;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2185558411698945, 48.8259772766063], ""type"": ""Point""}";48.8259772766063, 2.2185558411698945;Non;2022-2027;Cent Gardes;1989;1416
92072-P-050;Troyon;51254612800020;92072;4  RUE TROYON, 92310, SEVRES;;SEVRES;;abonnés;FAUX;;;108;;0;;N/A;;2.224732156371364;48.826757700324386;ouvrage;Payant sous barrière;Seine Ouest Aménagement;Ville;;;"{""coordinates"": [2.224732156371364, 48.826757700324386], ""type"": ""Point""}";48.826757700324386, 2.224732156371364;Non;;;;
92072-P-006;Gabriel Péri;80034814600047;92072;PLACE GABRIEL PERI, 92310, SEVRES;;SEVRES;https://fr.parkindigo.com/parking/sevres-92310/sevres-gabriel-peri-92200600;tous;FAUX;4;91;58;3;0;0;190;;2.2061082622426373;48.82171898718728;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2061082622426373, 48.82171898718728], ""type"": ""Point""}";48.82171898718728, 2.2061082622426373;Non;2022-2027;Gallardon;1990;1092
92072-P-015;Manufacture;80034814600047;92072;2  PLACE DE LA MANUFACTURE NATIONALE, 92310, SEVRES;;SEVRES;https://fr.parkindigo.com/parking/sevres-92310/sevres-manufacture-92200800;tous;FAUX;;63;58;2;0;0;N/A;;2.2235872278107336;48.829401690887536;enclos_en_surface;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2235872278107336, 48.829401690887536], ""type"": ""Point""}";48.829401690887536, 2.2235872278107336;Non;2022-2027;;;756
92012-P-002;Point du Jour;80034814600047;92012;PLACE ABEL GANCE, 92100, BOULOGNE-BILLANCOURT;;BOULOGNE-BILLANCOURT;https://fr.parkindigo.com/parking/boulogne-billancourt-92100/point-du-jour-92010200;tous;FAUX;3;525;525;10;0;0;190;;2.2575290396659806;48.83379138305917;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2575290396659806, 48.83379138305917], ""type"": ""Point""}";48.83379138305917, 2.2575290396659806;Non;1990-2033;Point du Jour;1990;6300
92077-P-004;Parking Rue de Versailles;;92077;RUE DE VERSAILLES, 92410, VILLE D'AVRAY;;VILLE D'AVRAY;;tous;VRAI;;80;80;0;0;0;N/A;;2.1822059536821405;48.82215524441298;enclos_en_surface;Gratuit;;Non;7h à 1h 7j/7;7h à 1h 7j/7;"{""coordinates"": [2.1822059536821405, 48.82215524441298], ""type"": ""Point""}";48.82215524441298, 2.1822059536821405;Non;;;;
92077-P-041;Fontaine du Roy;80034814600047;92077;6  RUE DE SAINT CLOUD, 92410, VILLE D'AVRAY;;VILLE D'AVRAY;https://fr.parkindigo.com/parking/ville-d'avray-92410/fontaine-du-roy-92210200;tous;FAUX;;69;69;2;0;;190;;2.188755934432323;48.827565234072836;ouvrage;Payant sous barrière;Indigo;GPSO;Tous les jours de 7h00 à 21h00;24h/24 7j/7;"{""coordinates"": [2.188755934432323, 48.827565234072836], ""type"": ""Point""}";48.827565234072836, 2.188755934432323;Non;2014-2026;Fontaine du Roy;1975;1044
92075-P-034;Marché;80034814600047;92075;23  RUE ANTOINE FRATACCI, 92170, VANVES;Marché de Vanves;VANVES;https://fr.parkindigo.com/parking/vanves-92170/vanves-marche-92260300;tous;FAUX;1;90;90;0;0;;190;;2.2877787951580095;48.821628466447685;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2877787951580095, 48.821628466447685], ""type"": ""Point""}";48.821628466447685, 2.2877787951580095;Non;2022-2027;Saint-Remy - République;1973;1080
92040-P-039;Camille Desmoulins;56210021401235;92040;56  RUE CAMILLE DESMOULINS, 92130, ISSY-LES-MOULINEAUX;;ISSY-LES-MOULINEAUX;https://fr.parkindigo.com/parking/issy-les-moulineaux-92130/camille-desmoulins-92160100;tous;FAUX;;176;;4;0;;190;;2.2651391841239534;48.830676037370985;ouvrage;Payant sous barrière;Autre personne privée;Non;Du lundi au vendredi de 7h00 à 22h00 et les samedi et dimanche de 7h00 à 20h00;24h/24 7j/7;"{""coordinates"": [2.2651391841239534, 48.830676037370985], ""type"": ""Point""}";48.830676037370985, 2.2651391841239534;Non;;;;
92072-P-030;Parking Troyon Passerelle de la Seine Musicale;;92072;40  RUE TROYON, 92310, SEVRES;;SEVRES;;tous;FAUX (zone Marron);;25;;1;;;N/A;;2.2297148886659617;48.82342178118345;enclos_en_surface;Payant par horodateur (zone Marron);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2297148886659617, 48.82342178118345], ""type"": ""Point""}";48.82342178118345, 2.2297148886659617;Non;;;;
